id,updated,output_folder
https://domo-support.domo.com/s/article/360043429933,2023-04-30 19:47:25.029658,../../raw_kb_v2\article\360043429933
https://domo-support.domo.com/s/article/360042925474,2023-04-30 19:47:28.195201,../../raw_kb_v2\article\360042925474
https://domo-support.domo.com/s/article/360042925434,2023-04-30 19:47:30.747942,../../raw_kb_v2\article\360042925434
https://domo-support.domo.com/s/article/360043429953,2023-04-30 19:47:33.877707,../../raw_kb_v2\article\360043429953
https://domo-support.domo.com/s/article/360043429993,2023-04-30 19:47:36.869329,../../raw_kb_v2\article\360043429993
https://domo-support.domo.com/s/article/360043430073,2023-04-30 19:47:39.878717,../../raw_kb_v2\article\360043430073
https://domo-support.domo.com/s/article/360043430093,2023-04-30 19:47:43.220832,../../raw_kb_v2\article\360043430093
https://domo-support.domo.com/s/article/360042925494,2023-04-30 19:47:46.240051,../../raw_kb_v2\article\360042925494
https://domo-support.domo.com/s/article/360042925514,2023-04-30 19:47:49.401239,../../raw_kb_v2\article\360042925514
https://domo-support.domo.com/s/article/360043430113,2023-04-30 19:47:52.374460,../../raw_kb_v2\article\360043430113
https://domo-support.domo.com/s/article/360043430133,2023-04-30 19:47:55.418818,../../raw_kb_v2\article\360043430133
